mondo_id,mondo_name,depth
MONDO:0018878,branchiootic syndrome,3
MONDO:0018882,vasculitis,3
MONDO:0017384,acute generalized exanthematous pustulosis,3
MONDO:0017388,celiac trunk compression syndrome,3
MONDO:0043195,Rubinstein Taybi like syndrome,3
MONDO:0043197,ruvalcaba churesigaew myhre syndrome,3
MONDO:0043199,short limb dwarf lethal colavita kozlowski type,3
MONDO:0000652,integumentary system benign neoplasm,3
MONDO:0000653,integumentary system cancer,3
MONDO:0000654,benign connective and soft tissue neoplasm,3
MONDO:0000816,abdominal obesity-metabolic syndrome,3
MONDO:0020600,acute pharyngitis,3
MONDO:0043170,Pavone Fiumara Rizzo syndrome,3
MONDO:0043172,pfeiffer rockelein syndrome,3
MONDO:0043174,Pfeiffer Tietze Welte syndrome,3
MONDO:0043176,phosphoribosylpyrophosphate synthetase deficiency,3
MONDO:0043179,piepkorn karp hickok syndrome,3
MONDO:0043183,podder-tolmie syndrome,3
MONDO:0043185,pointer syndrome,3
MONDO:0043193,richieri-costa guion-almeida cohen syndrome,3
MONDO:0011410,"Hirschsprung disease with heart defects, laryngeal anomalies, and preaxial polydactyly",3
MONDO:0011411,Chudley-McCullough syndrome,3
MONDO:0015014,"coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism, and deafness",3
MONDO:0015019,Yao syndrome,3
MONDO:0015021,"hypotonia, ataxia, and delayed development syndrome",3
MONDO:0015028,"48,XXYY syndrome",3
MONDO:0016583,familial intestinal malrotation-facial anomalies syndrome,3
MONDO:0016588,infantile mercury poisoning,3
MONDO:0043106,ichthyosis linearis circumflexa,3
MONDO:0043108,infantile striato thalamic degeneration,3
MONDO:0043114,Landy-Donnai syndrome,3
MONDO:0000721,xanthinuria,3
MONDO:0016620,primary hypertrophic osteoarthropathy,3
MONDO:0016622,Melhem-Fahl syndrome,3
MONDO:0016624,hereditary anemia,3
MONDO:0011406,"cholesteatoma, congenital",3
MONDO:0010871,succinic acidemia,3
MONDO:0010872,"parotid salivary glands, polycystic dysgenetic disease of",3
MONDO:0020602,Simpson-Golabi-Behmel syndrome type 1,3
MONDO:0020606,sex-linked disease,3
MONDO:0020629,"microcephaly, growth restriction and increased sister chromatid exchange",3
MONDO:0043077,weinstein kliman scully syndrome,3
MONDO:0043087,thickened earlobes with conductive deafness from incus-stapes abnormalities,3
MONDO:0043089,acute posterior multifocal placoid pigment epitheliopathy,3
MONDO:0010901,HEC syndrome,3
MONDO:0018891,familial tumoral calcinosis,3
MONDO:0018895,Plummer-Vinson syndrome,3
MONDO:0017862,paraquat poisoning,3
MONDO:0017372,congenital varicella syndrome,3
MONDO:0017373,poliomyelitis,3
MONDO:0017379,polyneuropathy-intellectual disability-acromicria-premature menopause syndrome,3
MONDO:0017380,juvenile polyposis syndrome,3
MONDO:0011611,"short stature, intellectual disability, callosal agenesis, Heminasal hypoplasia, microphthalmia, and atypical clefting",3
MONDO:0011617,"arthropathy, erosive",3
MONDO:0011618,liver fibrocystic disease and polydactyly,3
MONDO:0011619,crumpled helices and small mouth,3
MONDO:0016658,8p23.1 microdeletion syndrome,3
MONDO:0016662,idiopathic recurrent pericarditis,3
MONDO:0016663,overlapping connective tissue disease,3
MONDO:0018983,Tolosa-Hunt syndrome,3
MONDO:0011590,anisomastia,3
MONDO:0011594,"ovarian dysgenesis, hypergonadotropic, with short stature and recurrent metabolic acidosis",3
MONDO:0011574,"tetralogy of fallot syndrome, autosomal recessive",3
MONDO:0014980,cone-rod dystrophy and hearing loss,3
MONDO:0014984,"lung disease, immunodeficiency, and chromosome breakage syndrome;",3
MONDO:0014989,uncombable hair syndrome 2,3
MONDO:0014990,uncombable hair syndrome 3,3
MONDO:0011385,intervertebral disk degenerative disorder,3
MONDO:0016669,sickle cell-hemoglobin c disease syndrome,3
MONDO:0016670,sickle cell-hemoglobin d disease syndrome,3
MONDO:0014994,"global developmental delay, absent or hypoplastic corpus callosum, and dysmorphic facies",3
MONDO:0015012,mucopolysaccharidosis-plus syndrome,3
MONDO:0011404,Caronte,3
MONDO:0016639,lower limb deficiency-hypospadias syndrome,3
MONDO:0016641,limb transversal defect-cardiac anomaly syndrome,3
MONDO:0016643,frontonasal dysplasia,3
MONDO:0016600,acute neonatal citrullinemia type I,3
MONDO:0016604,dysraphism-cleft lip/palate-limb reduction defects syndrome,3
MONDO:0016608,megalencephaly,3
MONDO:0700045,protothecosis,3
MONDO:0000824,congenital diarrhea,3
MONDO:0000849,fibrogenesis imperfecta ossium,3
MONDO:0000257,acute diarrhea,3
MONDO:0016668,sickle cell-beta-thalassemia disease syndrome,3
MONDO:0020572,complex regional pain syndrome type 2,3
MONDO:0019000,perineural cyst,3
MONDO:0019007,vaginal atresia,3
MONDO:0011340,congenital tracheal stenosis,3
MONDO:0011341,"microcephaly, facial abnormalities, micromelia, and intellectual disability",3
MONDO:0014946,Sifrim-Hitz-Weiss syndrome,3
MONDO:0014948,"short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay",3
MONDO:0014952,intellectual disability-epilepsy-extrapyramidal syndrome,3
MONDO:0000270,lower respiratory tract disorder,3
MONDO:0000888,gastrointestinal mucositis,3
MONDO:0000904,complex cortical dysplasia with other brain malformations,3
MONDO:0020592,disorder of pharynx,3
MONDO:0010380,"cataract, ataxia, short stature, and intellectual disability",3
MONDO:0010381,Tn polyagglutination syndrome,3
MONDO:0010382,fragile X-associated tremor/ataxia syndrome,3
MONDO:0010383,fragile X syndrome,3
MONDO:0011358,"blue nevi, familial multiple",3
MONDO:0011365,"blepharophimosis - intellectual disability syndrome, SBBYS type",3
MONDO:0011367,"Acrodysplasia with ossification abnormalities, short stature, and fibular hypoplasia",3
MONDO:0014973,"sudden cardiac failure, infantile",3
MONDO:0014974,"sudden cardiac failure, alcohol-induced",3
MONDO:0016671,sickle cell-hemoglobin E disease syndrome,3
MONDO:0016672,hereditary persistence of fetal hemoglobin-sickle cell disease syndrome,3
MONDO:0014497,polyendocrine-polyneuropathy syndrome,3
MONDO:0018988,iridocorneal endothelial syndrome,3
MONDO:0018989,recurrent acute pancreatitis,3
MONDO:0018997,Noonan syndrome,3
MONDO:0011349,"osteoma of cranial vault, familial",3
MONDO:0011352,"neuroendocrine carcinoma of salivary glands, sensorineural hearing loss, and enamel hypoplasia",3
MONDO:0011353,"atrial septal defect, secundum, with various cardiac and Noncardiac defects",3
MONDO:0011356,"exostosis, Dupuytren subungual",3
MONDO:0011357,eccrine syringofibroadenomatosis with eyelid abnormalities,3
MONDO:0011317,"microcephaly, severe, with skeletal anomalies including posterior rib-Gap defects",3
